provider,DRG_CD,_TYPE_,_FREQ_,ip_type_sum,n_claims,pb_type_sum,sn_type_sum,proc227_Sum,proc232_Sum,proc34_Sum,proc48_Sum,,,,,,,,,,
260005,61,3,1,0,0,20,0,0,0,0,0,,,,,,,,,,
260006,61,3,1,1,1,32,0,17,0,0,0,,,,,,,,,,
260077,61,3,1,0,1,30,1,9,0,0,0,,,,,,,,,,
260078,61,3,1,1,1,5,1,10,0,0,0,,,,,,,,,,
260104,61,3,1,1,0,52,0,12,0,0,0,,,,,,,,,,
260110,61,3,1,0,0,21,0,22,0,0,0,,,,,,,,,,
260137,61,3,1,1,1,20,0,9,0,0,0,,,,,,,,,,
260138,61,3,1,1,0,31,0,13,0,0,0,,,,,,,,,,
260179,61,3,1,1,1,27,0,0,0,0,0,,,,,,,,,,
260180,61,3,1,0,0,26,0,13,0,0,0,,,,,,,,,,
260190,61,3,1,1,1,12,0,5,0,0,0,,,,,,,,,,
270051,61,3,1,1,0,26,0,0,0,0,0,,,,,,,,,,
270057,61,3,1,0,0,4,0,0,0,0,0,,,,,,,,,,
310002,61,3,1,1,1,8,0,10,0,0,0,,,,,,,,,,
310003,61,3,1,1,0,31,0,3,0,0,0,,,,,,,,,,
310009,61,3,1,0,0,23,1,9,0,0,0,,,,,,,,,,
310010,61,3,1,1,1,35,0,24,0,0,0,,,,,,,,,,
310038,61,3,1,1,0,20,0,16,0,0,0,,,,,,,,,,
310039,61,3,1,1,0,23,0,12,0,0,0,,,,,,,,,,
310041,61,3,1,1,1,9,0,4,0,0,0,,,,,,,,,,
310064,61,3,1,1,1,3,0,15,0,0,0,,,,,,,,,,
310073,61,3,1,0,0,48,1,17,0,0,0,,,,,,,,,,
310081,61,3,1,0,0,26,0,3,0,0,0,,,,,,,,,,
310111,61,3,1,0,0,14,0,13,0,0,0,,,,,,,,,,
330005,61,3,1,1,0,18,0,18,0,0,0,,,,,,,,,,
330009,61,3,1,0,1,42,0,9,0,0,0,,,,,,,,,,
330019,61,3,1,0,0,28,0,13,0,0,0,,,,,,,,,,
330046,61,3,1,1,0,18,0,15,0,0,0,,,,,,,,,,
330055,61,3,1,0,0,24,1,8,0,0,0,,,,,,,,,,
330059,61,3,1,1,0,5,0,13,0,0,0,,,,,,,,,,
330086,61,3,1,1,0,19,0,19,0,0,0,,,,,,,,,,
330104,61,3,1,1,0,17,0,11,0,0,0,,,,,,,,,,
330106,61,3,1,1,1,39,0,9,0,0,0,,,,,,,,,,
330119,61,3,1,1,0,28,0,13,0,0,0,,,,,,,,,,
330126,61,3,1,1,1,5,0,7,0,0,0,,,,,,,,,,
330128,61,3,1,1,1,30,0,13,0,0,0,,,,,,,,,,
330157,61,3,1,1,1,26,0,7,0,0,0,,,,,,,,,,
330158,61,3,1,1,1,27,0,20,0,0,0,,,,,,,,,,
330169,61,3,2,1,1,22,0,9,0,0,0,,,,,,,,,,
330196,61,3,1,0,1,33,0,4,0,0,0,,,,,,,,,,
330198,61,3,3,1,1,31,0,18,0,0,0,,,,,,,,,,
330203,61,3,1,1,1,20,0,8,0,0,0,,,,,,,,,,
330226,61,3,1,0,0,25,0,10,0,0,0,,,,,,,,,,
330233,61,3,1,1,1,23,0,5,0,0,0,,,,,,,,,,
330241,61,3,2,0,1,42,0,4,0,0,0,,,,,,,,,,
330264,61,3,1,1,0,41,0,11,0,0,0,,,,,,,,,,
330331,61,3,1,1,1,17,0,10,0,0,0,,,,,,,,,,
330385,61,3,1,1,0,22,0,9,0,0,0,,,,,,,,,,
340002,61,3,2,1,1,23,0,2,0,0,0,,,,,,,,,,
340004,61,3,2,1,1,28,0,8,0,0,0,,,,,,,,,,
340030,61,3,2,1,0,37,0,15,0,0,0,,,,,,,,,,
340032,61,3,1,1,1,23,0,6,0,0,0,,,,,,,,,,
340040,61,3,1,0,1,4,0,20,0,0,0,,,,,,,,,,
340053,61,3,1,1,1,25,0,3,0,0,0,,,,,,,,,,
340069,61,3,1,1,0,55,0,9,0,0,0,,,,,,,,,,
340113,61,3,1,1,1,39,0,5,0,0,0,,,,,,,,,,
340114,61,3,1,1,0,12,0,23,0,0,0,,,,,,,,,,
340126,61,3,1,1,1,7,0,14,0,0,0,,,,,,,,,,
340130,61,3,1,0,1,22,0,22,0,0,0,,,,,,,,,,
350006,61,3,1,0,1,0,0,1,0,0,0,,,,,,,,,,
360003,61,3,1,1,0,45,1,9,0,0,0,,,,,,,,,,
360006,61,3,1,1,1,27,0,13,0,0,0,,,,,,,,,,
360025,61,3,1,0,0,13,0,9,0,0,0,,,,,,,,,,
360027,61,3,1,1,1,28,1,9,0,0,0,,,,,,,,,,
360048,61,3,1,0,1,16,0,13,0,0,0,,,,,,,,,,
360064,61,3,1,1,1,50,0,12,0,0,0,,,,,,,,,,
360070,61,3,1,1,1,0,0,3,0,0,0,,,,,,,,,,
360084,61,3,1,0,1,38,0,9,0,0,0,,,,,,,,,,
360163,61,3,1,1,1,20,0,12,0,0,0,,,,,,,,,,
360230,61,3,2,1,1,36,0,2,0,0,0,,,,,,,,,,
370013,61,3,1,0,1,36,0,0,0,0,0,,,,,,,,,,
370106,61,3,2,1,0,7,0,13,0,0,0,,,,,,,,,,
370114,61,3,1,1,0,17,0,20,0,0,0,,,,,,,,,,
380047,61,3,1,1,1,38,1,17,0,0,0,,,,,,,,,,
380061,61,3,1,1,1,34,0,19,0,0,0,,,,,,,,,,
380089,61,3,1,0,1,19,0,15,0,0,0,,,,,,,,,,
380102,61,3,1,1,1,22,0,7,0,0,0,,,,,,,,,,
